totinc,p,ainc,pop,tinc,sinc,year,iso
161934.36803540602,0,4.6412235563673215e-18,35082703.326384775,1.5446985020345748e-11,2.8661139773321898e-24,2017,ES
161934.36803540602,0.1,2122.1505667678985,35082703.326384775,0.001048848828395664,0.0013105004160104557,2017,ES
161934.36803540602,0.2,9672.641573239833,35082703.326384775,3030.336438927893,0.00597318635357564,2017,ES
161934.36803540602,0.3,37868.315273821536,35082703.326384775,25818.123656630083,0.02338497734189561,2017,ES
161934.36803540602,0.4,56619.74448307218,35082703.326384775,48441.43365361656,0.034964624971205976,2017,ES
161934.36803540602,0.5,74624.3978164959,35082703.326384775,66549.36397055282,0.04608311300549844,2017,ES
161934.36803540602,0.6,102629.76402612317,35082703.326384775,85932.54434793796,0.06337738262188032,2017,ES
161934.36803540602,0.7,135729.7541532679,35082703.326384775,122883.55381042605,0.04190887820786488,2017,ES
161934.36803540602,0.75,173876.44821980267,35082703.326384775,151241.43489550633,0.05368732108238621,2017,ES
161934.36803540602,0.8,265588.71149138693,35082703.326384775,197919.2125381387,0.16401009539452266,2017,ES
161934.36803540602,0.9,448901.21749820816,35082703.326384775,356384.3078329613,0.13860591267446631,2017,ES
161934.36803540602,0.95,874718.7367257262,35082703.326384775,581255.7186421987,0.21606747161528414,2017,ES
161934.36803540602,0.99,1850648.3956711572,35082703.326384775,1558004.6731998029,0.05714192787248485,2017,ES
161934.36803540602,0.9949999999999999,3293195.6978318812,35082703.326384775,2282998.345692173,0.08134643035410338,2017,ES
161934.36803540602,0.999,8049489.99114564,35082703.326384775,5374072.059605809,0.04473751359838758,2017,ES
161934.36803540602,0.9998999999999999,44371092.88004859,35082703.326384775,17747491.768382642,0.02740066449043818,2017,ES
157217.8330440835,0,4.5060422877352634e-18,35082703.326384775,1.4997072835287134e-11,2.8661139773321898e-24,2016,ES
157217.8330440835,0.1,2060.340356085338,35082703.326384775,0.0010182998333938484,0.0013105004160104557,2016,ES
157217.8330440835,0.2,9390.914148776536,35082703.326384775,2942.0742125513525,0.00597318635357564,2016,ES
157217.8330440835,0.3,36765.35463477819,35082703.326384775,25066.13947245639,0.02338497734189561,2016,ES
157217.8330440835,0.4,54970.62571172056,35082703.326384775,47030.518110307334,0.034964624971205976,2016,ES
157217.8330440835,0.5,72450.87166650087,35082703.326384775,64611.032981119235,0.04608311300549844,2016,ES
157217.8330440835,0.6,99640.54759817783,35082703.326384775,83429.65470673588,0.06337738262188032,2016,ES
157217.8330440835,0.7,131776.46034297853,35082703.326384775,119304.42117517092,0.04190887820786488,2016,ES
157217.8330440835,0.75,168812.08565029385,35082703.326384775,146836.34455874402,0.05368732108238621,2016,ES
157217.8330440835,0.8,257853.11795280283,35082703.326384775,192154.57527974632,0.16401009539452266,2016,ES
157217.8330440835,0.9,435826.4247555419,35082703.326384775,346004.18236209836,0.13860591267446631,2016,ES
157217.8330440835,0.95,849241.4919667244,35082703.326384775,564325.9404293192,0.21606747161528414,2016,ES
157217.8330440835,0.99,1796746.0152147156,35082703.326384775,1512625.8963104882,0.05714192787248485,2016,ES
157217.8330440835,0.9949999999999999,3197277.376535807,35082703.326384775,2216503.248244828,0.08134643035410338,2016,ES
157217.8330440835,0.999,7815038.82635499,35082703.326384775,5217545.688937678,0.04473751359838758,2016,ES
157217.8330440835,0.9998999999999999,43078730.951503485,35082703.326384775,17230574.53241033,0.02740066449043818,2016,ES
152638.67285833348,0,4.3747983376070515e-18,35082703.326384775,1.4560264888628286e-11,2.8661139773321898e-24,2015,ES
152638.67285833348,0.1,2000.3304428012991,35082703.326384775,9.88640614945484e-4,0.0013105004160104557,2015,ES
152638.67285833348,0.2,9117.392377452947,35082703.326384775,2856.382730632381,0.00597318635357564,2015,ES
152638.67285833348,0.3,35694.51906289144,35082703.326384775,24336.05774024892,0.02338497734189561,2015,ES
152638.67285833348,0.4,53369.53952594229,35082703.326384775,45660.69719447314,0.034964624971205976,2015,ES
152638.67285833348,0.5,70340.6521033989,35082703.326384775,62729.15823409634,0.04608311300549844,2015,ES
152638.67285833348,0.6,96738.39572638624,35082703.326384775,80999.66476382123,0.06337738262188032,2015,ES
152638.67285833348,0.7,127938.3110126005,35082703.326384775,115829.53512152516,0.04190887820786488,2015,ES
152638.67285833348,0.75,163895.22878669307,35082703.326384775,142559.55782402333,0.05368732108238621,2015,ES
152638.67285833348,0.8,250342.83296388623,35082703.326384775,186557.8400774236,0.16401009539452266,2015,ES
152638.67285833348,0.9,423132.4512189727,35082703.326384775,335926.39064281393,0.13860591267446631,2015,ES
152638.67285833348,0.95,824506.3028803149,35082703.326384775,547889.262552737,0.21606747161528414,2015,ES
152638.67285833348,0.99,1744413.6070045782,35082703.326384775,1468568.831369406,0.05714192787248485,2015,ES
152638.67285833348,0.9949999999999999,3104152.7927532103,35082703.326384775,2151944.9012085707,0.08134643035410338,2015,ES
152638.67285833348,0.999,7587416.3362669805,35082703.326384775,5065578.338774445,0.04473751359838758,2015,ES
