p,botsh
1,1.5795231097848195e-5
2,6.258487678956204e-5
3,1.3750791744104873e-4
4,2.3651123330237223e-4
5,3.5387278182896775e-4
6,4.839897159089057e-4
7,6.213188156285465e-4
8,7.622837986659414e-4
9,9.062290147878738e-4
10,0.0010558962800099048
11,0.0012202262804820174
12,0.00140810012757564
13,0.0016247034090387524
14,0.0018705129721261482
15,0.002143204207769034
16,0.002438127976470139
17,0.002750277480350616
18,0.0030757188442397387
19,0.0034133195444425724
20,0.0037673115135127277
21,0.004149377306036928
22,0.004572987532581396
23,0.005046009995908318
24,0.0055711865251386605
25,0.006147623052967122
26,0.00677222011810974
27,0.007441222648373991
28,0.008153021312124475
29,0.008910298311276987
30,0.009724914977183419
31,0.010618686635953778
32,0.011619687032411785
33,0.012752592549977959
34,0.014038681948572274
35,0.015495479073176166
36,0.01713752729980056
37,0.018975615404029145
38,0.021018922148363428
39,0.023274123472983632
40,0.025747418090771412
41,0.028444289922057386
42,0.03137147403623708
43,0.034534990500472595
44,0.037940323025421496
45,0.041591107219193124
46,0.045489310281475404
47,0.049633084529084326
48,0.05401700642897311
49,0.058629392718894335
50,0.06345111069401099
51,0.06845498020502494
52,0.0736160868839042
53,0.07892352285791404
54,0.08437961261817883
55,0.08999818485299083
56,0.0958011739856065
57,0.10181432932214762
58,0.10806041896588914
59,0.11455148388987413
60,0.12127852345312251
61,0.12819927871737313
62,0.1352636206875556
63,0.1424440136003623
64,0.1497399206799268
65,0.15717339502729166
66,0.16478651735436112
67,0.172633707508295
68,0.18077152908487903
69,0.18924277989502536
70,0.19805502931718244
71,0.2071545133772007
72,0.21646148060051829
73,0.22592747270695346
74,0.23554188082470762
75,0.24533367239897108
76,0.2553681143429999
77,0.2657402763726845
78,0.27656102283382666
79,0.28793031061885055
80,0.2998939166447353
81,0.31238347411759027
82,0.32526481255440176
83,0.3384433990151462
84,0.3518881801771584
85,0.36564820980634694
86,0.3798655858943226
87,0.39478677411307417
88,0.4107519981044524
89,0.4281436804806428
90,0.4472352867397854
91,0.4678955080852124
92,0.4898151163265898
93,0.5131826992779578
94,0.5389924044273008
95,0.5690133863251245
96,0.604379505153264
97,0.6450588126830348
98,0.6935217091361006
99,0.7662114073495929
