Downloaded from wid.world on 24-04-2018 at 23:58:22
Percentile;Year;"ghweal_992_j_CN
Net personal wealth
Total population | Gini coefficient | adults | equal split
China";"ghweal_992_j_FR
Net personal wealth
Total population | Gini coefficient | adults | equal split
France";"ghweal_992_j_RU
Net personal wealth
Total population | Gini coefficient | adults | equal split
Russian Federation";"ghweal_992_j_US
Net personal wealth
Total population | Gini coefficient | adults | equal split
USA"
pall;1950;;0.817057426014;;
pall;1951;;0.799111505573;;
pall;1952;;0.816302321752;;
pall;1953;;0.820083066423;;
pall;1954;;0.806806506218;;
pall;1955;;0.797569118633;;
pall;1956;;0.798061202896;;
pall;1957;;0.801550331804;;
pall;1958;;0.792585898443;;
pall;1959;;0.800162755798;;
pall;1960;;0.799459827934;;
pall;1961;;;;
pall;1962;;0.798254976002;;0.842251255324
pall;1963;;;;
pall;1964;;0.810774852994;;0.844194788593
pall;1965;;0.79925974859;;
pall;1966;;0.782205323025;;0.837961593818
pall;1967;;0.764584869263;;0.837149098675
pall;1968;;0.729101437831;;0.841813718721
pall;1969;;0.699773232029;;0.832005826286
pall;1970;;0.702364530897;;0.83554796166
pall;1971;;0.694984601748;;0.828900426094
pall;1972;;0.692393178637;;0.830676374852
pall;1973;;0.690421262542;;0.825008944393
pall;1974;;0.683654988999;;0.826572888559
pall;1975;;0.678340064205;;0.819492751514
pall;1976;;0.671873460657;;0.813320532238
pall;1977;;0.66471164572;;0.814777653714
pall;1978;0.535913188435;0.65975854976;;0.808170229937
pall;1979;0.535913318216;0.656600331838;;0.810494099365
pall;1980;0.535917537619;0.655786603147;;0.808463557246
pall;1981;0.535913033646;0.65089974528;;0.80511099492
pall;1982;0.535913095667;0.645258142082;;0.794665969134
pall;1983;0.535913143001;0.642861782623;;0.787315600275
pall;1984;0.535917715168;0.642112571394;;0.783020385217
pall;1985;0.535917226887;0.641235278232;;0.777378204556
pall;1986;0.535917493863;0.642604383952;;0.776585658846
pall;1987;0.535917150198;0.640536724724;;0.777901525435
pall;1988;0.53591775097;0.639121834632;;0.785443689143
pall;1989;0.535917462247;0.644947523516;;0.784343692751
pall;1990;0.535917535148;0.645217885146;;0.78807461061
pall;1991;0.535917523137;0.648753694458;;0.787747460356
pall;1992;0.535912799953;0.659880839852;;0.798837568137
pall;1993;0.535913101229;0.661758871306;;0.801944088294
pall;1994;0.535917331614;0.662097203289;;0.804020946482
pall;1995;0.53591752996;0.660044031931;0.666334643255;0.808043468226
pall;1996;0.551896482613;0.678439270882;0.678482777786;0.811174555338
pall;1997;0.563829934514;0.688089507193;0.715483394777;0.816952242052
pall;1998;0.573080534332;0.695713261522;0.734640103365;0.821444335007
pall;1999;0.580461678938;0.69873179205;0.757182847081;0.823596891709
pall;2000;0.58648740561;0.700660792303;0.749763525226;0.825080986398
pall;2001;0.591499845905;0.693834132506;0.765195553791;0.821959812115
pall;2002;0.595734361665;0.683171499692;0.748397810585;0.823192242537
pall;2003;0.595895077961;0.679451521406;0.765864703447;0.825730051878
pall;2004;0.60812087506;0.67327580297;0.769887223699;0.828181497164
pall;2005;0.62059940968;0.669213909961;0.760906979553;0.827153394986
pall;2006;0.633542361382;0.673388872341;0.74898356329;0.830593708235
pall;2007;0.648065581677;0.679224652916;0.750904266126;0.840645323655
pall;2008;0.656188165279;0.678307484976;0.772367099807;0.871835039145
pall;2009;0.666293361859;0.68640626275;0.752075763668;0.885375584232
pall;2010;0.731372606113;0.704224323476;0.784011502768;0.884246657998
pall;2011;0.749322576609;0.695541301496;0.794697726337;0.881200078008
pall;2012;0.747739417914;0.690104073044;0.789914846363;0.877838563017
pall;2013;0.747975351094;0.691780127929;0.787606901625;0.864411055415
pall;2014;0.749428254053;0.694574152428;0.790714736071;0.859044206138
pall;2015;0.754683382996;;0.80940773114;
