Downloaded from wid.world on 17-06-2018 at 20:29:37
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources
FR;France;ghweal992j;p0p100;;Net personal wealth. Gini coefficient Adults. equal-split adults;;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];WID.world computations using wid.world/gpinter.;Garbinti, Goupille and Piketty (2016)
US;USA;ghweal992j;p0p100;;Net personal wealth. Gini coefficient Adults. equal-split adults;;[Net personal wealth]=[Personal non-financial assets]+[Personal financial assets]-[Personal debt];WID.world computations using wid.world/gpinter.;"[URL][URL_LINK]http://wid.world/document/t-piketty-e-saez-g-zucman-data-appendix-to-distributional-national-accounts-methods-and-estimates-for-the-united-states-2016/[/URL_LINK][URL_TEXT]Piketty, Thomas; Saez, Emmanuel and Zucman, Gabriel (2016). Distributional National Accounts: Methods and Estimates for the United States.[/URL_TEXT][/URL]"
