p,botsh,growth_before_1,growth_before_2,growth_after_1,growth_after_2,before,now,after
1,-0.002760620614859821,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
2,-0.00373673396261176,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
3,-0.004417016262434625,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
4,-0.004959314578736773,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
5,-0.005442376139114469,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
6,-0.005895936837522875,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
7,-0.006280505584995932,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
8,-0.006615710328374158,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
9,-0.006911423901135638,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
10,-0.007167763860099319,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
11,-0.007374857392198786,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
12,-0.007562205338988992,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
13,-0.007690316550267973,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
14,-0.007719934925678906,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
15,-0.007719522759341402,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
16,-0.007718286260331109,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
17,-0.0077162254286460286,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
18,-0.007713340264448254,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
19,-0.00769359468296682,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
20,-0.007624602681000292,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
21,-0.007535865093724725,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
22,-0.0074077538824459666,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
23,-0.007230278707897497,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
24,-0.007013312383143733,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
25,-0.00673722683887279,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
26,-0.006411894888148639,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
27,-0.005997825360355202,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
28,-0.005514646263572454,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
29,-0.00497246552450048,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
30,-0.004400548891474898,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
31,-0.003769630534509183,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
32,-0.0030991035113481225,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
33,-0.002389320390381755,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
34,-0.0016104277412496426,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
35,-7.821710267830184e-4,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
36,1.0514603693634328e-4,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
37,0.0010615139218559388,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
38,0.002106619383843822,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
39,0.0032503352359672943,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
40,0.004502475421027441,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
41,0.0058531672076063135,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
42,0.007302528172933753,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
43,0.008860313471199976,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
44,0.010546268891834742,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
45,0.01232096180788822,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
46,0.014194265114076954,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
47,0.01616612002178508,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
48,0.018216898482108723,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
49,0.02038597417008825,1.0366511309356963,1.0369090002295642,1.0247407111039026,1.02488260148773,1963,1988,2013
