p,botsh,growth_before_1,growth_before_2,growth_after_1,growth_after_2,before,now,after
1,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
2,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
3,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
4,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
5,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
6,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
7,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
8,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
9,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
10,0,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
11,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
12,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
13,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
14,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
15,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
16,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
17,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
18,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
19,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
20,1.529264307350057e-4,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
21,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
22,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
23,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
24,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
25,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
26,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
27,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
28,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
29,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
30,0.0016436914069574197,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
31,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
32,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
33,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
34,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
35,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
36,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
37,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
38,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
39,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
40,0.03345184395797061,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
41,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
42,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
43,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
44,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
45,NA,1.039858971352618,1.0401728149095864,1.0210897289027703,1.0213857006022422,1963,1988,2013
