p,botsh,growth_before_1,growth_before_2,growth_after_1,growth_after_2,before,now,after
1,3.187030522849854e-4,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
2,6.681424944257053e-4,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
3,0.001023650166831258,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
4,0.0013995170672559398,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
5,0.0018225908396103385,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
6,0.002269208437807202,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
7,0.002783179299819083,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
8,0.0033832788419071447,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
9,0.003996133806755564,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
10,0.004656314863774158,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
11,0.005324423323849192,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
12,0.006005764030496796,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
13,0.006701171411101381,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
14,0.00742715598310173,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
15,0.008183717746499841,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
16,0.008975446223363881,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
17,0.009819865246030957,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
18,0.01076382402570919,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
19,0.011779308320423842,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
20,0.012857615967006186,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
21,0.013988792932602023,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
22,0.015240073260784026,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
23,0.016564667293316626,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
24,0.017941653763897336,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
25,0.019357502489657175,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
26,0.02085596329844619,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
27,0.02246618273876566,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
28,0.02418410777963842,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
29,0.02600753301805414,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
30,0.027956902839353148,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
31,0.029997527468184515,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
32,0.0321572422590094,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
33,0.03446590896747326,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
34,0.03689432149210703,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
35,0.03946059948068992,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
36,0.04216468349456337,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
37,0.04505407828479979,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
38,0.04806023849947927,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
39,0.05134111667007801,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
40,0.054860949696165506,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
41,0.05854237107102078,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
42,0.06253743198133455,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
43,0.06679427630868451,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
44,0.07124078300835446,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
45,0.07579112082219341,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
46,0.08053469692975834,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
47,0.08541780758465345,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
48,0.09048777876474134,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
49,0.09570920514462022,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
50,0.10104006587569747,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
51,0.10651218944753615,1.028739369708132,1.029021507883193,1.019318566459462,1.0194730640887795,1963,1988,2013
