,Bottom60,GDP_growth,Gini_wealth,M2M_ratio,Top1,Top10,Top5
0,0.1581829986792536,1.0,0.6504702547058331,2.520406825311119,0.1581829986792536,0.5298758844510663,0.3830171996695067
1,0.149655862131081,1.01,0.6356460878117899,2.3448974226122123,0.149655862131081,0.5099567803290258,0.36603377427839656
2,0.14106996334611976,1.02,0.6230739420292779,2.1991594578358042,0.14106996334611976,0.49053851315980934,0.3491695195682843
3,0.13263404734255524,1.03,0.6135932105244327,2.082118860506769,0.13263404734255524,0.47243717816156283,0.33302972440587825
4,0.12458707803360929,1.04,0.6078749376209645,1.9955340272503772,0.12458707803360929,0.4565616551703353,0.31841377085508665
5,0.11731434095011942,1.05,0.6063249447401625,1.938170916215583,0.11731434095011942,0.4437983881692958,0.3061269852170547
6,0.11124276147894031,1.06,0.6090292456807114,1.910603178083882,0.11124276147894031,0.4348914667349726,0.296844506043159
7,0.10674851248569352,1.07,0.6157479702467862,1.9117832221391295,0.10674851248569352,0.4302294510327813,0.29101937153765695
8,0.10401914412669232,1.08,0.625972392213268,1.9435772230118658,0.10401914412669232,0.42989479746780246,0.2888095863918783
9,0.1030701457560193,1.09,0.639003734769474,2.008388338516391,0.1030701457560193,0.4336656675862897,0.29004996492532376
10,0.10375638943188398,1.1,0.6540551315402422,2.1090449585834437,0.10375638943188398,0.4410087363703213,0.294382734854563
