,Bottom60_Lvl,Bottom60_Nrm,Gini_Lvl,Gini_Lvl24_34,Gini_Lvl35_44,Gini_Lvl45_54,Gini_Lvl55_64,Gini_LvlRetired,Gini_Nrm,Gini_Nrm24_34,Gini_Nrm35_44,Gini_Nrm45_54,Gini_Nrm55_64,Gini_NrmRetired,Growth,M2M_Lvl,M2M_Nrm,Top10_Lvl,Top10_Nrm,Top1_Lvl,Top1_Nrm,Top5_Lvl,Top5_Nrm
0,0.2827925538208202,0.2405227570025678,0.4466533930690666,0.39368058153927765,0.27966856748545077,0.2995842856381341,0.31174131373485525,,0.5019337611955649,0.41405925414365036,0.26164802394077524,0.29578623498795,0.2939947844905749,,1.0,1.3163788370151455,1.4754303531769957,0.31680756887804457,0.35750678313853096,0.06689732525209892,0.07998817246414669,0.20180760181304958,0.23278913542912533
1,0.2772064837341553,0.3362425199572985,0.4585815779117926,0.3826551076147712,0.3859688400730533,0.4013140086541167,0.4398972527268935,,0.37214608029353274,0.354098128662712,0.3119435855197787,0.3314496837839646,0.3249391179927415,,1.01,1.421287288091637,1.1960519025441072,0.3475836605885804,0.2656484845239503,0.08582950224114055,0.049440784921867306,0.2325087333840138,0.16205979057054826
2,0.23807241606370524,0.39023288868299455,0.520203685683475,0.38835445760351844,0.4431725063655584,0.47415778745971504,0.5156159147015108,,0.2984912869848831,0.30739903704329985,0.27890796053984457,0.2873598538158106,0.27772309546342944,,1.02,1.6505848096750702,1.0725867641192044,0.4139893341368003,0.21067187369108387,0.12143047140430681,0.030467707924662194,0.29361183055357587,0.11920974212022264
3,0.18428698805977384,0.40043667434409014,0.6035200837129476,0.40742497026802565,0.4578715059043751,0.4938497802298707,0.5310310927489622,,0.28521614627910413,0.29346363215858307,0.2694457046307319,0.2773315676714163,0.27254488311433533,,1.03,2.0926533388567026,1.0480978451274654,0.5002024182930933,0.20001895456808932,0.16635246726052053,0.027110618678802743,0.37177020713997194,0.11110852936486798
4,0.13034528594777736,0.40336609278946034,0.689154530624388,0.43151176366244115,0.4645253998640294,0.5027557836843387,0.5372949822753952,,0.28175320059041636,0.2888223503486106,0.2690441431253848,0.2763514880161352,0.2740958861574236,,1.04,2.8830923751906052,1.0370390346377112,0.592350606418511,0.196299938560529,0.2179369348824634,0.025952180441324576,0.4577422514968794,0.1082369157022999
5,0.08549055233214009,0.40417353560731056,0.7643870430921177,0.4586020895768161,0.4686295987539447,0.508667328212983,0.5413331317619303,,0.2810522129917208,0.2872491122739362,0.2700030757688637,0.27685098203112657,0.27570360130471505,,1.05,4.263674378078194,1.0314443101453163,0.6793449730702649,0.19455386314762407,0.2720682916755219,0.025388778963129303,0.5426111841468757,0.10687032672121229
6,0.05287325074154364,0.40411984410209373,0.8238101509642797,0.4874574280064249,0.4718454160800519,0.5134141561640633,0.5448333231147843,,0.28147716872638356,0.2870175225428484,0.27123208532634413,0.27781655713166264,0.2772550250009984,,1.06,6.673881522997124,1.0265108623849981,0.7543101329997783,0.1936943119638789,0.3250568603324087,0.02506921031023189,0.620005097542684,0.10613382311106323
7,0.03131675204500895,0.40366839540257277,0.8676692450244156,0.5170503669264044,0.47499301425384033,0.5176731586007435,0.5482920077584666,,0.2824167052980725,0.287442004667555,0.2726290696042289,0.27895594017107656,0.2788657171401406,,1.07,10.915236056372343,1.0239432509089195,0.8148622766906857,0.19330952943216623,0.3745706104816878,0.024881619217479844,0.6867876987592102,0.10573836745854369
8,0.017996133334103593,0.4030172212509066,0.8988666701278077,0.5465379871289457,0.4782110762329352,0.5216495958857938,0.5519192117382379,,0.28354979691187554,0.28816275246118456,0.2741784514792677,0.28008175406597424,0.28036336674904444,,1.08,18.427178830643662,1.02271397810788,0.861740371261417,0.19313635139804056,0.41960143079886647,0.02475977426941907,0.7424521954016791,0.10553601090416212
9,0.010131165805572339,0.40228243772614003,0.9207726903545972,0.5753024944481292,0.48149610856127956,0.5254962179475126,0.5555968407316078,,0.2847725079847405,0.28904515733071284,0.27571594494298757,0.28121066782056464,0.2818968127470974,,1.09,31.87911775280234,1.0205950553984096,0.8971408395488568,0.19312919246689514,0.46005149985334465,0.02467893734368784,0.7880381307268184,0.10544871263562998
10,0.00562741548834268,0.40153366171945876,0.936221142598916,0.6029011185276854,0.48492928447943695,0.5292943817512563,0.5593929108925106,,0.28602946093698245,0.2900160906676158,0.2772929986598323,0.2823594248065074,0.2833354492667867,,1.1,56.10791960226461,1.0194436668122162,0.9235178661800524,0.1932450596937417,0.4962725060340527,0.024631029008574244,0.8250966935369408,0.10542164567955446
