,Bottom60_Lvl,Bottom60_Nrm,Gini_Lvl,Gini_Lvl24_34,Gini_Lvl35_44,Gini_Lvl45_54,Gini_Lvl55_64,Gini_LvlRetired,Gini_Nrm,Gini_Nrm24_34,Gini_Nrm35_44,Gini_Nrm45_54,Gini_Nrm55_64,Gini_NrmRetired,Growth,M2M_Lvl,M2M_Nrm,Top10_Lvl,Top10_Nrm,Top1_Lvl,Top1_Nrm,Top5_Lvl,Top5_Nrm
0,0.06429057126121818,0.049670085477709784,0.7735151151942611,0.6643128244296038,0.7070101537802425,0.7365384686308073,0.7659939332297667,,0.8169450798328947,0.6779996133729014,0.7297863419863584,0.7496554320229921,0.7998659912807057,,1.0,5.558413996535083,7.8636348513915895,0.6597117721979522,0.7342359625925202,0.18912556480205672,0.2776464069918968,0.482722221536536,0.5776303117924522
1,0.0805914175203075,0.09039118187612803,0.7688912967210405,0.6345804380705627,0.705147505581708,0.7359040775051416,0.7589744705142665,,0.7607575992832599,0.6269420665991968,0.7223600778035036,0.7444305863641234,0.7887653358620587,,1.01,4.59247426792309,4.4390204059045075,0.6877004221186747,0.6907368390797761,0.22830505522140798,0.23121254861802015,0.5304635176619914,0.5302786376685957
2,0.12149591614350873,0.1905620441736158,0.7073485781264326,0.5422136275530822,0.6203371844650474,0.6568605752973201,0.6650677155620331,,0.6081567430314725,0.5003037596287734,0.6191988169728034,0.6454295531786781,0.6758670649579589,,1.02,3.0848888062660342,2.135728784023524,0.6204095288670941,0.5414820888232029,0.22323364871324966,0.1516286793409306,0.4824179928081786,0.39739601089841997
3,0.15760321624127105,0.33683088314324466,0.6429968348415607,0.4558539817363242,0.485917732135819,0.5048727397008712,0.5274837294818217,,0.3757766287969585,0.36543009749533595,0.38121566328541934,0.3908190537365772,0.37873302049962587,,1.03,2.3710909850421915,1.2172855531432605,0.5359045918332042,0.27913200996986476,0.19054249540280568,0.05235439396500381,0.4047894467801708,0.1736092115365464
4,0.11980232679688378,0.37250448780321216,0.7064604547157896,0.45395503580736213,0.47387467600575167,0.4875337563627408,0.5213509814165326,,0.32402376918317105,0.32621532796789693,0.31464284700563216,0.3226106420363923,0.3142527569909191,,1.04,3.0720734277436264,1.102605321861767,0.6097936343996456,0.22824002122601997,0.23421870047074564,0.03480806188074666,0.4758083645020029,0.1320482777462102
5,0.0797161166676466,0.38349380176273656,0.7750420648650993,0.4723462155554803,0.4742107121362753,0.48686024977125125,0.5216843490033154,,0.3091565414602799,0.31260284144800515,0.2963305761898399,0.30494158520822795,0.29890251386263333,,1.05,4.50282370150046,1.0700778947008738,0.6914859438070704,0.21432660108358473,0.28597727645871446,0.03062408103576115,0.5560999483078874,0.12130039930437592
6,0.04947950181132522,0.38845459449414477,0.8308059886711354,0.4969746182350637,0.477028281075403,0.48888227313421134,0.5232815598418832,,0.3026765464452237,0.3062765588372789,0.2880885345655075,0.2982410556437677,0.29259631672081177,,1.06,7.047833207328557,1.0552676509860146,0.7629866424145224,0.2079325585296306,0.3372250627359532,0.028737423697545412,0.6302778618197973,0.11637311083935203
7,0.029329889403740515,0.39100029796424307,0.8722751747525725,0.5241374309302226,0.4807763568415873,0.49170588404910914,0.5254872280624541,,0.2994822663076117,0.30299924655413013,0.28388676717083444,0.29541363109302415,0.2900117580934826,,1.07,11.540673057978006,1.0456746734670122,0.8209122905576028,0.20435720333667642,0.38511471353123,0.02768067182231297,0.6944112857044938,0.11363675968334162
8,0.016854499485777677,0.39237643285616586,0.9018768911916717,0.552099023825933,0.4847602941169885,0.4949669997910144,0.5280371748462197,,0.29789053454450093,0.3012599319637866,0.28169326106509945,0.2943179622550359,0.2891711971784118,,1.08,19.512183952856322,1.0392811694961726,0.8658320723778534,0.20218656165146978,0.4286088980847249,0.027013969187638875,0.7479379857010877,0.11195132285997272
9,0.00948876682139484,0.39313393512229355,0.9227279640858458,0.5798319744049429,0.4889612134595972,0.49846185633228784,0.5308974917968358,,0.2971603608166239,0.3003709342782637,0.28057930666151903,0.29403826060399835,0.2891827514400083,,1.09,33.769278079601705,1.0352984675733703,0.899821813521934,0.200802847662001,0.46762329322906204,0.02656109142268654,0.7918486094297214,0.11082292520166016
10,0.005271798425214127,0.3934746982247701,0.9374888789061694,0.606692275066218,0.4933999713126143,0.5020752695802903,0.5338795433058063,,0.29694495718325015,0.30000133731427875,0.28014975036115086,0.29417879649732176,0.289634609093436,,1.1,59.44426849622478,1.0328831707161104,0.925223632418463,0.19988857054852677,0.5025492365638224,0.026244060299628696,0.8276539229329996,0.11005583463989878
